resource,Function,httpMethod,URL,documentation
school,search,GET,/schools?verb=search,
school,edit,PUT,/schools/{id},
school,delete,DELETE,/schools/{id},
school,create,POST,/schools,
staff,search,GET,/staffs?verb=search,
staff,edit,PUT,/staffs/{id},
staff,assign,PUT,/staffs/{id}/verb=assign,
staff,deassign,PUT,/staffs/{id}/verb=deassign,
staff,delete,DELETE,/staffs/{id},https://linkit.atlassian.net/wiki/display/LRA/Delete+a+Staff
staff,create,POST,/staffs,https://linkit.atlassian.net/wiki/display/LRA/Create+a+Staff
student,search,GET,/students?verb=search,https://linkit.atlassian.net/wiki/display/LRA/Search+for+a+Student
student,edit,PUT,/students/{id},https://linkit.atlassian.net/wiki/display/LRA/Edit+a+Student
student,delete,DELETE,/students/{id},https://linkit.atlassian.net/wiki/display/LRA/Delete+a+Student
student,create,POST,/students,https://linkit.atlassian.net/wiki/display/LRA/Create+a+Student
program,search,GET,/programs?verb=search,https://linkit.atlassian.net/wiki/display/LRA/Search+for+a+Program
program,edit,PUT,/programs/{id},https://linkit.atlassian.net/wiki/display/LRA/Edit+a+Program
program,addStudent,PUT,/programs/{id}?verb=assign,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857521
program,removeStudent,PUT,/programs/{id}?verb=deassign,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857521
program,delete,DELETE,/programs/{id},https://linkit.atlassian.net/wiki/display/LRA/Delete+a+Program
program,create,POST,/programs,https://linkit.atlassian.net/wiki/display/LRA/Create+a+Program
term,search,GET,/districtterms?verb=search,https://linkit.atlassian.net/wiki/display/LRA/Search+for+a+District+Term
term,edit,PUT,/districtterms/{id},https://linkit.atlassian.net/wiki/display/LRA/Edit+a+District+Term
term,delete,DELETE,/districtterms/{id},https://linkit.atlassian.net/wiki/display/LRA/Delete+a+District+Term
term,create,POST,/districtterms,https://linkit.atlassian.net/wiki/display/LRA/Create+a+District+Term
section,search,GET,/classes?verb=search,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857423
section,edit,PUT,/classes/{id},https://linkit.atlassian.net/wiki/display/LRA/Edit+a+Class
section,setPrimaryTeacher,PUT,/classes/{id}?verb=addteacher,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857454
section,addSecondaryTeacher,PUT,/classes/{id}?verb=addteacher,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857454
section,removeSecondaryTeacher,PUT,/classes/{id}?verb=removeteacher,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857454
section,addStudent,PUT,/classes/{id}?verb=addstudent,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857474
section,removeStudent,PUT,/classes/{id}?verb=removestudent,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857474
section,transferStudent,PUT,/classes/{id}?verb=transferstudent,https://linkit.atlassian.net/wiki/pages/viewpage.action?pageId=19857474
section,delete,DELETE,/classes/{id},https://linkit.atlassian.net/wiki/display/LRA/Delete+a+Class
section,create,POST,/classes,https://linkit.atlassian.net/wiki/display/LRA/Create+a+Class
test,search,GET,/tests?verb=search,https://linkit.atlassian.net/wiki/display/LRA/Search+for+a+Test
assignment,search,GET,/testassignments?verb=search,https://linkit.atlassian.net/wiki/display/LRA/Search+for+a+Test+Assignment
assignment,create,POST,/testassignments,https://linkit.atlassian.net/wiki/display/LRA/Create+a+Test+Assignment
assignment,deactivate,PUT,/testassignments/{id}?verb=deactivate,https://linkit.atlassian.net/wiki/display/LRA/Deactivate+a+Test+Assignment
assignment,searchPreferences,GET,/preferences?,https://linkit.atlassian.net/wiki/display/LRA/Search+for+Preferences+of+a+Test+Assignment
assignment,setPreferences,PUT,/preferences?,https://linkit.atlassian.net/wiki/display/LRA/Update+Preferences+of+a+Test+Assignment
result,search,GET,/testresults?verb=search,https://linkit.atlassian.net/wiki/display/LRA/Search+for+a+Test+Result
